㐀 ㄑㄧㄡ
㐁 ㄊㄧㄢˇ
㐄 ㄎㄨㄚˋ
㐅 ㄨˇ
㐆 ㄧㄣˇ
㐌 ㄙˋ
㐖 ㄧㄝˋ
㐜 ㄔㄡˊ
㐡 ㄋㄨㄛˋ
㐤 ㄑㄧㄡˊ
㐨 ㄒㄩˋ
㐩 ㄒㄧㄥˊ
㐫 ㄒㄩㄥ
㐬 ㄌㄧㄡˊ
㐭 ㄌㄧㄣˇ
㐮 ㄒㄧㄤ
㐯 ㄩㄥ
㐰 ㄒㄧㄣˋ
㐱 ㄓㄣˇ
㐲 ㄉㄞˋ
㐳 ㄨˋ
㐴 ㄆㄢ
㐷 ㄇㄚˇ
㐸 ㄑㄧㄢˋ
㐹 ㄧˋ
㐺 ㄓㄨㄥˋ
㐼 ㄔㄥˋ
㑁 ㄓㄨㄛ
㑂 ㄈㄤˇ
㑃 ㄠˇ
㑄 ㄨˇ
㑅 ㄗㄨㄛˋ
㑇 ㄓㄡˋ
㑈 ㄉㄨㄥˋ
㑉 ㄙㄨˋ
㑊 ㄧˋ
㑋 ㄐㄩㄥˋ
㑌 ㄨㄤ
㑍 ㄌㄟˇ
㑎 ㄋㄠˇ
㑏 ㄓㄨˋ
㑔 ㄒㄩˇ
㑘 ㄐㄧㄝˋ
㑙 ㄉㄧㄝˊ
㑚 ㄋㄨㄛˊ
㑛 ㄙㄨˋ
㑜 ㄧˋ
㑝 ㄌㄨㄥˋ
㑞 ㄧㄥˋ
㑟 ㄅㄥˇ
㑣 ㄌㄢˊ
㑤 ㄇㄧㄠˊ
㑥 ㄧˋ
㑦 ㄌㄧˋ
㑧 ㄐㄧˋ
㑨 ㄩˇ
㑩 ㄌㄨㄛˊ
㑪 ㄔㄞˊ
㑮 ㄏㄨㄣˊ
㑯 ㄒㄩˇ
㑰 ㄏㄨㄟˋ
㑱 ㄖㄠˇ
㑳 ㄓㄡˋ
㑵 ㄏㄢˋ
㑶 ㄒㄧˋ
㑷 ㄊㄞˋ
㑸 ㄞˇ
㑹 ㄏㄨㄟˋ
㑺 ㄐㄩㄣˋ
㑻 ㄇㄚˋ
㑼 ㄌㄩㄝˋ
㑽 ㄊㄤˊ
㑾 ㄒㄧㄠˊ
㑿 ㄊㄧㄠˊ
㒀 ㄓㄚˇ
㒁 ㄩˇ
㒂 ㄎㄨˋ
㒃 ㄦˋ
㒄 ㄋㄤˋ
㒅 ㄑㄧˇ
㒆 ㄔˋ
㒇 ㄇㄨˋ
㒈 ㄏㄢˋ
㒉 ㄊㄤˇ
㒊 ㄙㄜˋ
㒌 ㄑㄩㄥˊ
㒍 ㄌㄟˊ
㒎 ㄙㄚˇ
㒑 ㄏㄨㄟˋ
㒒 ㄆㄨˊ
㒓 ㄊㄚˋ
㒔 ㄕㄨˇ
㒖 ㄡˇ
㒗 ㄊㄞˊ
㒙 ㄇㄧㄢˊ
㒚 ㄨㄣˇ
㒛 ㄉㄧㄠˋ
㒜 ㄩˊ
㒝 ㄇㄧㄝˋ
㒞 ㄐㄩㄣˋ
㒟 ㄋㄧㄠˇ
㒠 ㄒㄧㄝˋ
㒡 ㄧㄡˊ
㒤 ㄕㄜˋ
㒦 ㄌㄟˇ
㒧 ㄌㄧˋ
㒩 ㄌㄨㄛˇ
㒫 ㄐㄧˋ
㒰 ㄑㄩㄢˊ
㒲 ㄘㄞˊ
㒳 ㄌㄧㄤˇ
㒴 ㄍㄨˇ
㒵 ㄇㄠˋ
㒷 ㄍㄨㄚˇ
㒸 ㄙㄨㄟˋ
㒻 ㄇㄠˋ
㒼 ㄇㄢˊ
㒾 ㄕˋ
㒿 ㄌㄧˊ
